centre;var;dim;cos2
12;afib;1;0,00724537970450785
12;afib;2;0,0370442933336747
12;afib;3;3,91371529721007e-05
12;afib;4;0,0604888082483429
12;afib;5;0,000128172460985358
12;cad;1;0,0485976102599041
12;cad;2;0,00526444977995367
12;cad;3;0,000241104143230872
12;cad;4;8,46824726443869e-07
12;cad;5;0,244560732600023
12;bmi;1;0,00824669437093903
12;bmi;2;0,127889212782144
12;bmi;3;0,00289386362636492
12;bmi;4;4,52255360551468e-06
12;bmi;5;0,00106219770812342
12;age;1;4,25723314671618e-05
12;age;2;0,00117470196351223
12;age;3;0,0872195488410392
12;age;4;0,0628424431141966
12;age;5;5,12611385532991e-06
12;egfr;1;0,0331697142224405
12;egfr;2;0,00512179248823249
12;egfr;3;0,048699390832091
12;egfr;4;3,59894331923791e-05
12;egfr;5;0,0284409352724727
12;sbp;1;0,055731981044176
12;sbp;2;0,124614627682113
12;sbp;3;0,000131928185966367
12;sbp;4;0,015811293108282
12;sbp;5;0,00016264442761623
12;dbp;1;0,144488953143886
12;dbp;2;0,0624625178250559
12;dbp;3;0,00685213751352819
12;dbp;4;0,0127910132053575
12;dbp;5;7,99748708294033e-05
12;hr;1;0,114523678968467
12;hr;2;0,00149590936983488
12;hr;3;0,00223225151394818
12;hr;4;9,82665474811551e-06
12;hr;5;0,01445301392749
13;gender;1;0,0529516852794116
13;gender;2;0,129105550148517
13;gender;3;0,000188964575114565
13;gender;4;0,00420693142778247
13;gender;5;0,00116209457765681
13;copd;1;0,0118848101778678
13;copd;2;0,0647043230764426
13;copd;3;0,00504058478152001
13;copd;4;0,0484401446624903
13;copd;5;0,00283479392306909
13;hypertension;1;0,024837229713237
13;hypertension;2;0,000600456313177677
13;hypertension;3;0,075503859575746
13;hypertension;4;5,57737401643236e-09
13;hypertension;5;0,000403195982395855
13;previoushf;1;0,0006510756922451
13;previoushf;2;0,00105618852304886
13;previoushf;3;0,00448690047768592
13;previoushf;4;0,118838126418984
13;previoushf;5;0,0177532190542911
13;afib;1;0,00342932880805502
13;afib;2;0,0126875069132996
13;afib;3;0,0021193250570342
13;afib;4;9,40952309885536e-07
13;afib;5;0,106786835721715
13;cad;1;0,0590657934103387
13;cad;2;0,00704966000720702
13;cad;3;0,00282291858567102
13;cad;4;0,054148288583565
13;cad;5;1,49002687569849e-05
13;bmi;1;5,38652694110423e-07
13;bmi;2;0,0759246388921984
13;bmi;3;6,95006510310809e-13
13;bmi;4;0,0791060638483907
13;bmi;5;0,000778926050475661
13;age;1;0,000398304936936509
13;age;2;0,00886290618647698
13;age;3;0,29096583190995
13;age;4;0,000897287890687326
13;age;5;1,88817543390811e-08
13;egfr;1;0,00130960399027771
13;egfr;2;0,0196121430955646
13;egfr;3;0,00368682471357705
13;egfr;4;0,0432327575092355
13;egfr;5;0,125324588142524
13;sbp;1;0,354990704205893
13;sbp;2;0,000201066845908024
13;sbp;3;0,000450696125814801
13;sbp;4;0,00174793238476675
13;sbp;5;0,0113435153318752
13;dbp;1;0,0861567021284052
13;dbp;2;0,0338743010761769
13;dbp;3;0,0902696391590661
13;dbp;4;0,000204833885704312
13;dbp;5;6,8319425198212e-11
13;hr;1;0,0100776057718762
13;hr;2;0,00848151714352942
13;hr;3;0,0111006477346596
13;hr;4;2,00702133557855e-09
13;hr;5;0,00604594293102834
15;gender;1;0,0461066556484555
15;gender;2;0,000379547612767256
15;gender;3;0,00531501309567192
15;gender;4;0,142345984285668
15;gender;5;1,51097909471029e-05
15;copd;1;0,00818366116800498
15;copd;2;8,64937605487338e-05
15;copd;3;0,280077014917608
15;copd;4;0,000153298672642707
15;copd;5;0,000185860619401166
15;hypertension;1;0,000364918913574169
15;hypertension;2;0,00458093364679199
15;hypertension;3;0,095977941382947
15;hypertension;4;0,0241833664076388
15;hypertension;5;0,0011083503537872
15;previoushf;1;0,0920199536328705
15;previoushf;2;0,00131522186533873
15;previoushf;3;0,00361258837852182
15;previoushf;4;0,0278017607732127
15;previoushf;5;4,3097477397009e-05
15;afib;1;0,00238933219630934
15;afib;2;1,10934125380992e-10
15;afib;3;0,00117055097044059
15;afib;4;1,26573099553337e-07
15;afib;5;0,328887962339391
15;cad;1;0,0347159314014745
15;cad;2;1,78626282079036e-05
15;cad;3;5,1991749001284e-09
15;cad;4;0,0784545448461884
15;cad;5;1,59668301512499e-05
15;bmi;1;0,00229336950502012
15;bmi;2;4,50879368924547e-06
15;bmi;3;0,074692517632851
15;bmi;4;0,00075877781445295
15;bmi;5;0,00884622137690263
15;age;1;0,197086531119565
15;age;2;0,000737612817417359
15;age;3;0,0170470548484622
15;age;4;0,000982265617014387
15;age;5;2,60707342500103e-05
15;egfr;1;0,154866576631574
15;egfr;2;0,00055156205527041
15;egfr;3;0,00631339365958058
